Business,City,Product/Service,Startup_Cost_PKR,Cost_per_Unit,Price_per_Unit,Marketing_Channel,Failure_Risk
Mobile Repair Shop,Karachi,Mobile Repair Shop,32375,96,117,Word of Mouth,0.39
Tea & Snacks Stall,Faisalabad,Tea & Snacks Stall,17803,74,113,Flyers,0.34
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,44462,72,126,Word of Mouth,0.37
Local Snacks Delivery,Faisalabad,Local Snacks Delivery,23175,91,171,Flyers,0.77
Flower Stall,Faisalabad,Flower Stall,37467,51,109,Local Advertising,0.51
Local Snacks Delivery,Peshawar,Local Snacks Delivery,10147,56,138,Social Media,0.57
Street Clothing Vendor,Faisalabad,Street Clothing Vendor,13251,85,180,Local Advertising,0.17
Online Tutoring,Peshawar,Online Tutoring,8380,43,53,Local Advertising,0.21
Local Snacks Delivery,Lahore,Local Snacks Delivery,30324,18,45,Word of Mouth,0.37
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,6973,62,145,Word of Mouth,0.8
Samosa Stall,Peshawar,Samosa Stall,48066,26,87,Word of Mouth,0.53
Small Tuition Center,Islamabad,Small Tuition Center,48293,53,70,Local Advertising,0.4
Fruit Stall,Karachi,Fruit Stall,43316,9,23,Flyers,0.19
Handmade Jewelry,Karachi,Handmade Jewelry,6248,16,55,Flyers,0.53
Mobile Accessories,Islamabad,Mobile Accessories,46180,39,92,Word of Mouth,0.25
Street Clothing Vendor,Multan,Street Clothing Vendor,27682,88,160,Local Advertising,0.58
Juice Bar,Karachi,Juice Bar,42869,10,92,Flyers,0.66
Dahi Bhallay Stall,Faisalabad,Dahi Bhallay Stall,46335,92,116,Social Media,0.7
Laundry Shop,Peshawar,Laundry Shop,15438,94,139,Social Media,0.72
Street Photography,Karachi,Street Photography,30592,72,128,Flyers,0.64
Candle Stall,Faisalabad,Candle Stall,31079,78,168,Flyers,0.67
Samosa Stall,Lahore,Samosa Stall,44035,41,128,Social Media,0.74
Samosa Stall,Lahore,Samosa Stall,37503,27,64,Flyers,0.49
Laundry Shop,Lahore,Laundry Shop,40658,83,143,Word of Mouth,0.59
Online Tutoring,Peshawar,Online Tutoring,35622,100,183,Flyers,0.63
Fresh Milk Seller,Faisalabad,Fresh Milk Seller,11393,18,98,Local Advertising,0.61
Fresh Milk Seller,Faisalabad,Fresh Milk Seller,30558,52,64,Local Advertising,0.75
Ice Cream Cart,Islamabad,Ice Cream Cart,7851,46,107,Flyers,0.28
Fresh Milk Seller,Faisalabad,Fresh Milk Seller,41451,31,51,Local Advertising,0.66
Pakora Stall,Peshawar,Pakora Stall,16957,15,78,Social Media,0.56
Juice Bar,Lahore,Juice Bar,35190,22,106,Flyers,0.78
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,18160,32,47,Local Advertising,0.43
Coffee Cart,Faisalabad,Coffee Cart,12187,70,117,Local Advertising,0.29
Dahi Bhallay Stall,Faisalabad,Dahi Bhallay Stall,29348,5,89,Flyers,0.47
Tea & Snacks Stall,Faisalabad,Tea & Snacks Stall,40987,88,100,Social Media,0.75
Street Photography,Faisalabad,Street Photography,15536,82,168,Flyers,0.59
Veggie Juice Stand,Multan,Veggie Juice Stand,20315,79,149,Local Advertising,0.62
Coffee Cart,Lahore,Coffee Cart,45294,96,134,Social Media,0.71
Bakery Stall,Lahore,Bakery Stall,33364,71,129,Social Media,0.6
Candle Stall,Multan,Candle Stall,33318,30,120,Social Media,0.42
Fruit Stall,Karachi,Fruit Stall,13454,76,164,Local Advertising,0.58
Fitness Trainer,Multan,Fitness Trainer,47157,8,52,Social Media,0.63
Flower Stall,Lahore,Flower Stall,35437,51,99,Word of Mouth,0.72
Pakora Stall,Multan,Pakora Stall,44875,26,91,Flyers,0.15
Handmade Jewelry,Islamabad,Handmade Jewelry,35052,94,188,Local Advertising,0.36
Chai Stall,Karachi,Chai Stall,38749,21,86,Word of Mouth,0.41
Juice Bar,Peshawar,Juice Bar,20750,41,60,Local Advertising,0.12
Stationery Kiosk,Islamabad,Stationery Kiosk,27719,42,92,Social Media,0.21
Online Tutoring,Multan,Online Tutoring,31853,26,118,Local Advertising,0.34
Stationery Shop,Karachi,Stationery Shop,17425,60,96,Local Advertising,0.51
Coffee Cart,Lahore,Coffee Cart,24394,19,114,Local Advertising,0.3
Flower Stall,Karachi,Flower Stall,20297,83,143,Flyers,0.39
Handmade Jewelry,Karachi,Handmade Jewelry,27253,86,114,Word of Mouth,0.36
Mobile Repair Shop,Faisalabad,Mobile Repair Shop,32901,69,107,Flyers,0.68
Stationery Shop,Karachi,Stationery Shop,39332,25,83,Flyers,0.55
Fitness Trainer,Lahore,Fitness Trainer,10875,70,127,Social Media,0.6
Flower Stall,Peshawar,Flower Stall,30199,32,59,Social Media,0.64
Mobile Repair Shop,Lahore,Mobile Repair Shop,16179,63,152,Word of Mouth,0.27
Local Snacks Delivery,Karachi,Local Snacks Delivery,22849,94,131,Flyers,0.69
Mini Grocery,Peshawar,Mini Grocery,29839,20,76,Word of Mouth,0.42
Candle Stall,Multan,Candle Stall,12978,24,109,Flyers,0.24
Repair Electronics,Islamabad,Repair Electronics,25968,30,104,Local Advertising,0.18
Stationery Shop,Peshawar,Stationery Shop,8721,97,148,Flyers,0.68
Online Tutoring,Lahore,Online Tutoring,17161,100,194,Flyers,0.59
Shawarma Stand,Islamabad,Shawarma Stand,19739,23,48,Flyers,0.52
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,47078,26,82,Social Media,0.55
Ice Cream Cart,Multan,Ice Cream Cart,39815,41,107,Local Advertising,0.63
Local Snacks Delivery,Islamabad,Local Snacks Delivery,33584,95,126,Social Media,0.21
Fresh Milk Seller,Multan,Fresh Milk Seller,20085,71,105,Social Media,0.51
Dahi Bhallay Stall,Multan,Dahi Bhallay Stall,13439,14,41,Local Advertising,0.52
Pakora Stall,Karachi,Pakora Stall,34298,58,142,Local Advertising,0.49
Handmade Jewelry,Peshawar,Handmade Jewelry,10866,88,155,Word of Mouth,0.65
Samosa Stall,Islamabad,Samosa Stall,29445,23,83,Local Advertising,0.63
Handmade Jewelry,Lahore,Handmade Jewelry,33641,78,101,Local Advertising,0.43
Small Tuition Center,Lahore,Small Tuition Center,13155,33,121,Word of Mouth,0.68
Dahi Bhallay Stall,Islamabad,Dahi Bhallay Stall,34951,85,156,Local Advertising,0.76
Mini Grocery,Karachi,Mini Grocery,34643,14,79,Word of Mouth,0.47
Flower Stall,Peshawar,Flower Stall,35690,81,107,Social Media,0.6
Fruit Stall,Islamabad,Fruit Stall,5785,43,80,Word of Mouth,0.51
Handmade Jewelry,Islamabad,Handmade Jewelry,33579,87,184,Flyers,0.42
Repair Electronics,Multan,Repair Electronics,42665,37,121,Local Advertising,0.13
Handmade Jewelry,Islamabad,Handmade Jewelry,45820,25,112,Local Advertising,0.65
Online Tutoring,Faisalabad,Online Tutoring,7531,46,58,Local Advertising,0.52
Stationery Kiosk,Karachi,Stationery Kiosk,21604,5,25,Social Media,0.55
Chai Stall,Karachi,Chai Stall,8449,29,119,Social Media,0.35
Dahi Bhallay Stall,Islamabad,Dahi Bhallay Stall,44903,9,101,Word of Mouth,0.23
Local Snacks Delivery,Multan,Local Snacks Delivery,45151,98,166,Social Media,0.45
Chai Stall,Lahore,Chai Stall,23091,88,129,Local Advertising,0.35
Handmade Jewelry,Islamabad,Handmade Jewelry,38816,91,113,Social Media,0.52
Chai Stall,Multan,Chai Stall,34537,85,106,Local Advertising,0.63
Chai Stall,Lahore,Chai Stall,31424,73,93,Flyers,0.66
Handmade Jewelry,Lahore,Handmade Jewelry,23508,80,126,Social Media,0.26
Shawarma Stand,Multan,Shawarma Stand,11305,30,97,Local Advertising,0.39
Dahi Bhallay Stall,Multan,Dahi Bhallay Stall,49638,64,133,Social Media,0.19
Coffee Cart,Karachi,Coffee Cart,46443,24,80,Social Media,0.76
Stationery Kiosk,Lahore,Stationery Kiosk,10659,28,67,Local Advertising,0.1
Veggie Juice Stand,Peshawar,Veggie Juice Stand,33531,98,181,Flyers,0.3
Online Tutoring,Islamabad,Online Tutoring,15843,93,107,Flyers,0.23
Laundry Shop,Multan,Laundry Shop,26046,51,117,Word of Mouth,0.21
Ice Cream Cart,Peshawar,Ice Cream Cart,49070,8,34,Flyers,0.4
Candle Stall,Islamabad,Candle Stall,24967,60,150,Social Media,0.13
Samosa Stall,Peshawar,Samosa Stall,16958,27,113,Flyers,0.13
Handmade Jewelry,Islamabad,Handmade Jewelry,16870,43,69,Word of Mouth,0.65
Fruit Smoothie Stall,Multan,Fruit Smoothie Stall,37855,40,90,Social Media,0.52
Local Snacks Delivery,Multan,Local Snacks Delivery,27379,26,51,Social Media,0.65
Ice Cream Cart,Karachi,Ice Cream Cart,37589,86,167,Social Media,0.37
Fitness Trainer,Lahore,Fitness Trainer,41051,82,109,Word of Mouth,0.69
Chai Stall,Multan,Chai Stall,14919,81,142,Local Advertising,0.79
Handmade Jewelry,Lahore,Handmade Jewelry,22648,87,168,Local Advertising,0.57
Bakery Stall,Lahore,Bakery Stall,32538,99,149,Flyers,0.35
Chai Stall,Karachi,Chai Stall,28188,14,110,Flyers,0.65
Fruit Smoothie Stall,Islamabad,Fruit Smoothie Stall,18851,81,104,Flyers,0.44
Repair Electronics,Multan,Repair Electronics,21143,59,90,Local Advertising,0.17
Street Clothing Vendor,Karachi,Street Clothing Vendor,13894,68,90,Word of Mouth,0.15
Fresh Milk Seller,Multan,Fresh Milk Seller,6494,90,110,Local Advertising,0.41
Flower Stall,Lahore,Flower Stall,20809,29,52,Word of Mouth,0.32
Candle Stall,Islamabad,Candle Stall,28355,45,112,Flyers,0.28
Chai Stall,Lahore,Chai Stall,19687,21,120,Flyers,0.35
Tea & Snacks Stall,Islamabad,Tea & Snacks Stall,18039,46,134,Flyers,0.66
Stationery Kiosk,Faisalabad,Stationery Kiosk,19353,70,113,Local Advertising,0.61
Local Snacks Delivery,Islamabad,Local Snacks Delivery,41739,15,77,Word of Mouth,0.47
Fruit Smoothie Stall,Faisalabad,Fruit Smoothie Stall,28514,31,52,Flyers,0.25
Veggie Juice Stand,Peshawar,Veggie Juice Stand,8214,74,108,Local Advertising,0.74
Mini Grocery,Multan,Mini Grocery,48473,80,126,Social Media,0.7
Stationery Kiosk,Karachi,Stationery Kiosk,30491,64,140,Word of Mouth,0.29
Dahi Bhallay Stall,Lahore,Dahi Bhallay Stall,25353,67,165,Local Advertising,0.19
Mobile Accessories,Peshawar,Mobile Accessories,14710,95,164,Flyers,0.68
Mobile Repair Shop,Karachi,Mobile Repair Shop,8434,89,107,Flyers,0.62
Pakora Stall,Multan,Pakora Stall,26372,83,110,Social Media,0.64
Online Tutoring,Lahore,Online Tutoring,38561,12,70,Word of Mouth,0.42
Dahi Bhallay Stall,Peshawar,Dahi Bhallay Stall,24488,20,31,Flyers,0.24
Fitness Trainer,Islamabad,Fitness Trainer,46280,89,125,Social Media,0.18
Repair Electronics,Multan,Repair Electronics,35429,90,102,Local Advertising,0.55
Shawarma Stand,Multan,Shawarma Stand,33875,75,93,Word of Mouth,0.66
Coffee Cart,Peshawar,Coffee Cart,47279,30,48,Social Media,0.58
Tea & Snacks Stall,Multan,Tea & Snacks Stall,20305,11,43,Social Media,0.55
Ice Cream Cart,Faisalabad,Ice Cream Cart,12450,70,88,Local Advertising,0.17
Bakery Stall,Lahore,Bakery Stall,43814,70,94,Word of Mouth,0.17
Mini Grocery,Islamabad,Mini Grocery,39687,55,121,Social Media,0.15
Handmade Jewelry,Peshawar,Handmade Jewelry,43012,30,81,Social Media,0.31
Fruit Smoothie Stall,Islamabad,Fruit Smoothie Stall,8002,6,95,Flyers,0.42
Stationery Shop,Karachi,Stationery Shop,9220,96,174,Local Advertising,0.76
Coffee Cart,Multan,Coffee Cart,45948,97,137,Word of Mouth,0.47
Fresh Milk Seller,Karachi,Fresh Milk Seller,12098,57,78,Word of Mouth,0.66
Ice Cream Cart,Peshawar,Ice Cream Cart,31722,11,97,Local Advertising,0.33
Coffee Cart,Peshawar,Coffee Cart,26968,63,151,Word of Mouth,0.36
Tea & Snacks Stall,Faisalabad,Tea & Snacks Stall,23752,50,96,Social Media,0.37
Local Snacks Delivery,Lahore,Local Snacks Delivery,25734,8,58,Word of Mouth,0.2
Coffee Cart,Peshawar,Coffee Cart,18675,72,137,Flyers,0.24
Laundry Shop,Islamabad,Laundry Shop,11897,5,90,Social Media,0.24
Laundry Shop,Multan,Laundry Shop,24901,100,172,Flyers,0.65
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,28334,90,163,Flyers,0.71
Fruit Stall,Multan,Fruit Stall,49073,81,176,Flyers,0.65
Shawarma Stand,Lahore,Shawarma Stand,48774,39,105,Flyers,0.2
Mini Grocery,Faisalabad,Mini Grocery,36172,51,112,Flyers,0.14
Mini Grocery,Karachi,Mini Grocery,29008,59,69,Social Media,0.48
Handmade Jewelry,Multan,Handmade Jewelry,12493,17,61,Word of Mouth,0.19
Fruit Stall,Islamabad,Fruit Stall,32159,13,101,Social Media,0.23
Local Snacks Delivery,Faisalabad,Local Snacks Delivery,23146,67,118,Word of Mouth,0.67
Mini Grocery,Karachi,Mini Grocery,48735,95,177,Social Media,0.12
Mini Grocery,Faisalabad,Mini Grocery,46042,35,83,Word of Mouth,0.27
Stationery Kiosk,Karachi,Stationery Kiosk,47396,8,52,Word of Mouth,0.37
Dahi Bhallay Stall,Peshawar,Online Tutoring,35543,29,142,Word of Mouth,0.65
Chai Stall,Islamabad,Fruit Smoothie Stall,10250,89,178,Flyers,0.68
Stationery Kiosk,Multan,Dahi Bhallay Stall,16408,92,162,Word of Mouth,0.31
Online Tutoring,Karachi,Fruit Stall,26618,75,21,Social Media,0.47
Local Snacks Delivery,Islamabad,Coffee Cart,11550,30,52,Flyers,0.16
Laundry Shop,Karachi,Fitness Trainer,21442,41,36,Flyers,0.1
Coffee Cart,Peshawar,Juice Bar,22202,42,99,Local Advertising,0.76
Small Tuition Center,Multan,Coffee Cart,8363,53,118,Word of Mouth,0.56
Small Tuition Center,Lahore,Handmade Jewelry,38905,7,190,Word of Mouth,0.59
Samosa Stall,Lahore,Chai Stall,12170,12,82,Word of Mouth,0.15
Fruit Stall,Peshawar,Veggie Juice Stand,45183,63,132,Word of Mouth,0.51
Handmade Jewelry,Karachi,Flower Stall,13753,88,47,Social Media,0.29
Ice Cream Cart,Islamabad,Local Snacks Delivery,9160,68,133,Word of Mouth,0.11
Ice Cream Cart,Lahore,Fresh Milk Seller,13939,57,152,Local Advertising,0.67
Fresh Milk Seller,Islamabad,Stationery Kiosk,37976,46,31,Word of Mouth,0.54
Handmade Jewelry,Lahore,Fitness Trainer,30177,77,191,Local Advertising,0.7
Stationery Shop,Karachi,Stationery Shop,18195,42,119,Flyers,0.8
Fruit Smoothie Stall,Faisalabad,Pakora Stall,22846,98,171,Local Advertising,0.32
Fitness Trainer,Peshawar,Samosa Stall,24991,97,151,Social Media,0.53
Street Clothing Vendor,Lahore,Street Clothing Vendor,42465,17,105,Local Advertising,0.75
Chai Stall,Islamabad,Candle Stall,16897,99,148,Local Advertising,0.44
Veggie Juice Stand,Islamabad,Fruit Stall,21509,78,32,Word of Mouth,0.67
Online Tutoring,Karachi,Coffee Cart,34621,73,44,Local Advertising,0.72
Chai Stall,Peshawar,Local Snacks Delivery,42330,9,194,Local Advertising,0.5
Repair Electronics,Lahore,Coffee Cart,31349,30,123,Word of Mouth,0.43
Fruit Smoothie Stall,Karachi,Coffee Cart,24177,84,99,Social Media,0.55
Online Tutoring,Faisalabad,Bakery Stall,25084,86,121,Flyers,0.73
Flower Stall,Islamabad,Ice Cream Cart,22104,58,147,Flyers,0.72
Veggie Juice Stand,Lahore,Mobile Repair Shop,45722,37,31,Word of Mouth,0.68
Fitness Trainer,Karachi,Fruit Smoothie Stall,46250,54,142,Local Advertising,0.7
Chai Stall,Islamabad,Flower Stall,14109,95,90,Flyers,0.8
Tea & Snacks Stall,Lahore,Flower Stall,23661,47,24,Word of Mouth,0.14
Tea & Snacks Stall,Islamabad,Laundry Shop,41254,54,138,Flyers,0.78
Repair Electronics,Karachi,Small Tuition Center,44077,7,20,Word of Mouth,0.68
Handmade Jewelry,Multan,Tea & Snacks Stall,32662,86,79,Flyers,0.28
Street Photography,Peshawar,Repair Electronics,45260,50,80,Flyers,0.43
Street Clothing Vendor,Multan,Candle Stall,5238,76,153,Flyers,0.6
Samosa Stall,Islamabad,Local Snacks Delivery,37639,58,24,Local Advertising,0.57
Candle Stall,Islamabad,Stationery Shop,19183,40,185,Word of Mouth,0.67
Stationery Kiosk,Peshawar,Mini Grocery,10163,43,23,Local Advertising,0.2
Stationery Kiosk,Lahore,Online Tutoring,25843,60,44,Local Advertising,0.11
Fruit Smoothie Stall,Peshawar,Online Tutoring,12600,33,88,Flyers,0.14
Repair Electronics,Islamabad,Street Clothing Vendor,21973,73,68,Flyers,0.68
Mini Grocery,Multan,Local Snacks Delivery,49041,41,24,Word of Mouth,0.14
Ice Cream Cart,Peshawar,Street Clothing Vendor,47881,49,160,Flyers,0.48
Stationery Shop,Multan,Handmade Jewelry,8939,43,83,Word of Mouth,0.37
Fresh Milk Seller,Faisalabad,Fresh Milk Seller,31530,53,53,Social Media,0.49
Coffee Cart,Lahore,Handmade Jewelry,11309,70,152,Social Media,0.14
Coffee Cart,Karachi,Fruit Stall,40898,77,61,Word of Mouth,0.64
Fruit Smoothie Stall,Islamabad,Ice Cream Cart,49151,79,145,Flyers,0.3
Stationery Shop,Multan,Mini Grocery,31968,87,131,Word of Mouth,0.79
Repair Electronics,Lahore,Fruit Smoothie Stall,10739,76,148,Social Media,0.31
Stationery Kiosk,Multan,Samosa Stall,5637,88,27,Local Advertising,0.28
Flower Stall,Multan,Handmade Jewelry,15188,30,39,Flyers,0.61
Flower Stall,Peshawar,Juice Bar,19119,66,170,Word of Mouth,0.24
Laundry Shop,Faisalabad,Laundry Shop,17112,21,74,Word of Mouth,0.24
Coffee Cart,Islamabad,Ice Cream Cart,26536,47,158,Local Advertising,0.79
Coffee Cart,Karachi,Online Tutoring,9791,28,120,Local Advertising,0.35
Dahi Bhallay Stall,Lahore,Local Snacks Delivery,31825,38,119,Social Media,0.79
Candle Stall,Multan,Flower Stall,22672,34,121,Local Advertising,0.48
Chai Stall,Peshawar,Chai Stall,12532,7,52,Local Advertising,0.23
Online Tutoring,Multan,Candle Stall,45595,26,122,Flyers,0.7
Handmade Jewelry,Peshawar,Pakora Stall,35120,88,51,Social Media,0.45
Coffee Cart,Islamabad,Local Snacks Delivery,6837,74,28,Local Advertising,0.19
Mini Grocery,Peshawar,Mini Grocery,21616,10,187,Local Advertising,0.56
Pakora Stall,Peshawar,Shawarma Stand,25355,65,143,Social Media,0.4
Juice Bar,Islamabad,Online Tutoring,49847,100,39,Social Media,0.42
Handmade Jewelry,Faisalabad,Ice Cream Cart,18127,89,75,Social Media,0.54
Mobile Accessories,Multan,Samosa Stall,8315,5,25,Local Advertising,0.66
Veggie Juice Stand,Lahore,Small Tuition Center,6485,75,44,Word of Mouth,0.68
Samosa Stall,Karachi,Flower Stall,14233,97,76,Flyers,0.55
Online Tutoring,Islamabad,Street Clothing Vendor,9495,86,172,Local Advertising,0.79
Fresh Milk Seller,Faisalabad,Bakery Stall,28350,30,91,Word of Mouth,0.31
Online Tutoring,Multan,Laundry Shop,29403,9,31,Social Media,0.39
Tea & Snacks Stall,Faisalabad,Stationery Shop,33512,100,84,Flyers,0.65
Handmade Jewelry,Karachi,Stationery Shop,37852,14,57,Social Media,0.43
Dahi Bhallay Stall,Faisalabad,Fitness Trainer,39983,74,130,Local Advertising,0.53
Fruit Smoothie Stall,Karachi,Mobile Accessories,47159,95,128,Local Advertising,0.71
Mobile Accessories,Islamabad,Stationery Kiosk,5881,92,79,Word of Mouth,0.51
Fresh Milk Seller,Islamabad,Veggie Juice Stand,13632,86,176,Local Advertising,0.32
Fruit Stall,Faisalabad,Shawarma Stand,13333,76,126,Word of Mouth,0.71
Mobile Accessories,Peshawar,Coffee Cart,45793,73,123,Social Media,0.66
Shawarma Stand,Islamabad,Stationery Kiosk,46342,94,92,Flyers,0.17
Coffee Cart,Multan,Candle Stall,5172,52,45,Word of Mouth,0.35
Tea & Snacks Stall,Islamabad,Ice Cream Cart,42515,65,25,Flyers,0.51
Fitness Trainer,Multan,Ice Cream Cart,19344,97,103,Social Media,0.34
Local Snacks Delivery,Lahore,Candle Stall,46338,40,170,Local Advertising,0.36
Local Snacks Delivery,Multan,Samosa Stall,47758,57,120,Local Advertising,0.49
Fitness Trainer,Multan,Fitness Trainer,48349,77,194,Flyers,0.14
Local Snacks Delivery,Islamabad,Repair Electronics,35073,86,25,Local Advertising,0.55
Stationery Kiosk,Peshawar,Pakora Stall,25607,78,81,Flyers,0.46
Fresh Milk Seller,Multan,Stationery Kiosk,32023,81,80,Local Advertising,0.78
Coffee Cart,Faisalabad,Ice Cream Cart,12078,58,84,Word of Mouth,0.67
Repair Electronics,Karachi,Stationery Kiosk,39891,84,109,Social Media,0.4
Samosa Stall,Multan,Coffee Cart,11548,22,134,Social Media,0.77
Laundry Shop,Faisalabad,Flower Stall,37750,61,55,Social Media,0.75
Juice Bar,Faisalabad,Pakora Stall,42014,7,128,Word of Mouth,0.46
Samosa Stall,Multan,Pakora Stall,33359,21,32,Word of Mouth,0.45
Fruit Smoothie Stall,Karachi,Candle Stall,30876,28,39,Flyers,0.35
Chai Stall,Multan,Local Snacks Delivery,27452,97,150,Social Media,0.76
Flower Stall,Lahore,Stationery Kiosk,36091,82,164,Local Advertising,0.36
Mobile Accessories,Faisalabad,Pakora Stall,8363,69,99,Social Media,0.75
Fruit Stall,Karachi,Online Tutoring,25463,45,39,Word of Mouth,0.55
Fresh Milk Seller,Multan,Small Tuition Center,45753,23,133,Word of Mouth,0.76
Laundry Shop,Multan,Coffee Cart,19038,12,117,Word of Mouth,0.5
Juice Bar,Lahore,Pakora Stall,15100,34,100,Social Media,0.16
Stationery Shop,Faisalabad,Bakery Stall,48999,8,95,Social Media,0.41
Samosa Stall,Faisalabad,Pakora Stall,27547,74,174,Social Media,0.39
Shawarma Stand,Faisalabad,Local Snacks Delivery,21209,80,78,Flyers,0.23
Mini Grocery,Lahore,Samosa Stall,42626,86,66,Word of Mouth,0.47
Local Snacks Delivery,Multan,Veggie Juice Stand,48649,46,131,Local Advertising,0.24
Bakery Stall,Faisalabad,Online Tutoring,14154,40,86,Flyers,0.44
Chai Stall,Peshawar,Handmade Jewelry,5779,67,84,Word of Mouth,0.38
Mini Grocery,Islamabad,Street Clothing Vendor,5772,91,34,Social Media,0.35
Veggie Juice Stand,Multan,Stationery Shop,5171,83,120,Flyers,0.24
Laundry Shop,Faisalabad,Local Snacks Delivery,25234,91,143,Local Advertising,0.11
Ice Cream Cart,Lahore,Juice Bar,21362,76,122,Social Media,0.13
Fruit Stall,Peshawar,Local Snacks Delivery,27720,77,72,Word of Mouth,0.56
Online Tutoring,Islamabad,Samosa Stall,33433,43,116,Social Media,0.16
Veggie Juice Stand,Karachi,Stationery Kiosk,16746,53,109,Local Advertising,0.63
Stationery Kiosk,Peshawar,Fruit Stall,44270,77,140,Social Media,0.44
Chai Stall,Lahore,Tea & Snacks Stall,38300,59,83,Social Media,0.21
Veggie Juice Stand,Lahore,Handmade Jewelry,14405,40,100,Social Media,0.51
Chai Stall,Multan,Fresh Milk Seller,47417,90,28,Flyers,0.76
Street Clothing Vendor,Islamabad,Chai Stall,5761,12,175,Flyers,0.12
Fresh Milk Seller,Islamabad,Ice Cream Cart,6430,32,44,Social Media,0.41
Ice Cream Cart,Multan,Juice Bar,15407,43,174,Word of Mouth,0.45
Chai Stall,Karachi,Flower Stall,12447,76,113,Word of Mouth,0.12
Fruit Smoothie Stall,Multan,Small Tuition Center,39814,81,116,Local Advertising,0.28
Handmade Jewelry,Islamabad,Samosa Stall,5760,27,114,Flyers,0.57
Fruit Stall,Faisalabad,Online Tutoring,44393,61,106,Flyers,0.7
Pakora Stall,Faisalabad,Local Snacks Delivery,8946,75,49,Social Media,0.71
Juice Bar,Peshawar,Mini Grocery,47665,47,57,Social Media,0.15
Handmade Jewelry,Islamabad,Local Snacks Delivery,23691,81,92,Local Advertising,0.4
Samosa Stall,Peshawar,Online Tutoring,49698,5,150,Flyers,0.4
Handmade Jewelry,Peshawar,Laundry Shop,45666,99,177,Word of Mouth,0.45
Samosa Stall,Lahore,Fresh Milk Seller,32162,72,101,Local Advertising,0.49
Fresh Milk Seller,Multan,Coffee Cart,16143,46,89,Local Advertising,0.41
Samosa Stall,Peshawar,Pakora Stall,36825,98,171,Flyers,0.14
Fruit Smoothie Stall,Karachi,Stationery Shop,35106,16,193,Social Media,0.51
Fresh Milk Seller,Peshawar,Chai Stall,42215,70,163,Flyers,0.42
Samosa Stall,Lahore,Online Tutoring,49295,21,156,Local Advertising,0.34
Ice Cream Cart,Faisalabad,Stationery Kiosk,6813,56,150,Local Advertising,0.49
Stationery Kiosk,Karachi,Repair Electronics,6321,50,64,Word of Mouth,0.54
Shawarma Stand,Faisalabad,Pakora Stall,35076,100,120,Social Media,0.43
Laundry Shop,Lahore,Mobile Accessories,15467,11,66,Flyers,0.38
Fruit Smoothie Stall,Peshawar,Samosa Stall,37859,53,48,Word of Mouth,0.78
Flower Stall,Faisalabad,Bakery Stall,31812,94,177,Local Advertising,0.78
Candle Stall,Faisalabad,Tea & Snacks Stall,31943,12,85,Local Advertising,0.43
Shawarma Stand,Multan,Fresh Milk Seller,28147,62,54,Local Advertising,0.57
Dahi Bhallay Stall,Islamabad,Pakora Stall,6189,49,167,Flyers,0.52
Juice Bar,Multan,Dahi Bhallay Stall,24643,45,148,Local Advertising,0.33
Ice Cream Cart,Karachi,Candle Stall,36392,40,157,Word of Mouth,0.73
Handmade Jewelry,Lahore,Bakery Stall,7450,77,193,Social Media,0.61
Coffee Cart,Multan,Small Tuition Center,27201,80,27,Word of Mouth,0.28
Chai Stall,Lahore,Pakora Stall,48733,42,70,Social Media,0.62
Laundry Shop,Islamabad,Mobile Accessories,31792,86,133,Social Media,0.51
Juice Bar,Multan,Juice Bar,36657,79,119,Word of Mouth,0.23
Street Photography,Peshawar,Dahi Bhallay Stall,48212,96,132,Local Advertising,0.24
Repair Electronics,Peshawar,Small Tuition Center,37320,11,103,Flyers,0.3
Online Tutoring,Lahore,Fresh Milk Seller,21252,71,130,Flyers,0.79
Ice Cream Cart,Peshawar,Bakery Stall,31975,27,44,Flyers,0.52
Chai Stall,Faisalabad,Small Tuition Center,21494,62,50,Local Advertising,0.67
Handmade Jewelry,Faisalabad,Fresh Milk Seller,24046,90,27,Word of Mouth,0.21
Candle Stall,Peshawar,Mobile Repair Shop,37839,41,192,Social Media,0.73
Online Tutoring,Peshawar,Ice Cream Cart,34206,5,44,Word of Mouth,0.38
Small Tuition Center,Islamabad,Veggie Juice Stand,20542,77,191,Word of Mouth,0.76
Fresh Milk Seller,Peshawar,Samosa Stall,9538,98,43,Local Advertising,0.51
Dahi Bhallay Stall,Peshawar,Ice Cream Cart,13057,17,190,Local Advertising,0.31
Mini Grocery,Karachi,Fresh Milk Seller,5601,48,60,Social Media,0.3
Tea & Snacks Stall,Islamabad,Stationery Kiosk,23137,39,122,Flyers,0.48
Mobile Repair Shop,Lahore,Street Photography,18759,36,127,Social Media,0.76
Flower Stall,Peshawar,Stationery Kiosk,30895,43,87,Flyers,0.64
Ice Cream Cart,Peshawar,Dahi Bhallay Stall,9647,40,42,Local Advertising,0.69
Shawarma Stand,Islamabad,Coffee Cart,33018,40,187,Word of Mouth,0.32
Online Tutoring,Peshawar,Ice Cream Cart,24391,88,115,Local Advertising,0.3
Ice Cream Cart,Peshawar,Pakora Stall,13597,46,70,Social Media,0.3
